userID,ISBN,bookRating,bookTitle,totalRatingCount,Location
277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"gilbert, arizona, usa"
3363,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"knoxville, tennessee, usa"
12538,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"byron, minnesota, usa"
13552,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"cordova, tennessee, usa"
16795,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"mechanicsville, maryland, usa"
24194,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"palos hills, illinois, usa"
25981,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"nj, new jersey, usa"
26535,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"hickory, mississippi, usa"
28204,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"south ohio, nova scotia, canada"
30533,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"charleston, south carolina, usa"
31826,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"jasper, missouri, usa"
41084,002542730X,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"orlando, florida, usa"
43246,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"toronto, ontario, canada"
44728,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"florence, alabama, usa"
51883,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"jasper, missouri, usa"
52584,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"livermore, california, usa"
55548,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"chamblee, georgia, usa"
60244,002542730X,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"alvin, texas, usa"
